Track Name,Artist Name(s),Album Name,Popularity,Energy,Tempo
I Don't Wanna Play House,Barbara Ray,The Heart and Soul Of,0,0.265,104.477
Hard Love,Ellie Drennan,Hard Love,0,0.603,132.968
Feeding Line,Boy & Bear,Moonfire,0,0.621,117.95
All Seats Taken,Bec Cartwright,Bec Cartwright,23,0.808,101.974
I'll Stand by You,Pretenders,Last of the Independents,75,0.606,133.822
Infinity,Guru Josh,Infinity,59,0.762,125.117
Hit That,The Offspring,Splinter,69,0.809,131.952
Lifestyle (feat. Adam Levine),"Jason Derulo, Adam Levine, Maroon 5",Lifestyle (feat. Adam Levine),40,0.679,122.979
In the Closet - Single Version,Michael Jackson,The Essential Michael Jackson,41,0.812,111.658
OK Not To Be OK,"Marshmello, Demi Lovato",OK Not To Be OK,70,0.837,103.072
Better Best Forgotten,Steps,Gold: Greatest Hits,26,0.983,129.017
Zebra,John Butler Trio,Zebra,24,0.668,77.944
The Day You Went Away,Wendy Matthews,Lily,47,0.203,105.675
She - Original Stereo Version; 2006 Remaster,The Monkees,More of The Monkees (Deluxe Edition),36,0.669,119.267
I Alone,Live,Throwing Copper,45,0.826,90.67
Solitude Is Bliss,Tame Impala,InnerSpeaker (Collector's Edition),0,0.847,104.004
everytime we touch [Yanou's candlelight mix],Cascada,Acoustic Sessions,0,0.173,113.882
The Bomb! (These Sounds Fall Into My Mind),The Bucketheads,The Bomb! (These Sounds Fall Into My Mind),10,0.931,125.901
Sunshine After The Rain,Elkie Brooks,Pearls,26,0.265,106.523
Shaka Jam - Radio Edit,Kulcha,Shaka Jam,14,0.809,113.204
The Man,Taylor Swift,Lover,88,0.658,110.048
You Are The Reason - Duet Version,"Calum Scott, Leona Lewis",You Are The Reason (Duet Version),0,0.329,171.09
Collide - Acoustic Version,Howie Day,Stop All the World Now (Special Edition),67,0.253,90.186
My Love,Petula Clark,Downtown - The Best of Petula Clark,9,0.839,169.906
Que Sera Mi Vida,Gibson Brothers,The Complete Of Gibson Brothers,51,0.954,131.172
Adore,Amy Shark,Adore,52,0.438,67.445
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,Four Tops Second Album,0,0.599,127.935
Shake It Off,Taylor Swift,1989 (Deluxe),88,0.8,160.078
Holes - Radio Edit,Passenger,Holes,1,0.591,158.399
Radioactive,Kings of Leon,Come Around Sundown,0,0.925,126.405
Shakedown,Bob Seger,Greatest Hits 2,0,0.947,170.662
Fuck You,CeeLo Green,The Lady Killer (Deluxe),66,0.879,127.457
Life Is A Rollercoaster,Ronan Keating,Ronan,0,0.817,118.959
Pride (In The Name Of Love),U2,The Best of 1980-1990 & B-Sides,0,0.879,105.859
Thank God I'm A Country Boy,Hampton The Hampster,Hampsterdance Album,0,0.958,126.977
Hearts on Fire,John Farnham,One Voice,24,0.517,114.028
Do I Wanna Know?,Arctic Monkeys,AM,1,0.532,85.03
New Thang,Redfoo,New Thang,61,0.841,100.003
Best Of You,Foo Fighters,In Your Honour,0,0.943,129.8
Tell Me You Love Me,"Galantis, Throttle",The Aviary,56,0.797,122.066
All Those Years Ago - Remastered 2004,George Harrison,Somewhere In England,5,0.639,125.77
All Rise,Blue,Best Of Blue,53,0.692,97.99
wish you were gay,Billie Eilish,wish you were gay,0,0.351,118.028
Daddy Cool,Boney M.,Take The Heat Off Me,77,0.777,124.431
Ride It,Regard,Ride It,83,0.751,117.948
Tonight Again,Guy Sebastian,Tonight Again,44,0.843,106.093
Stay Another Day,East 17,Steam,0,0.452,127.801
The Zephyr Song,Red Hot Chili Peppers,By the Way,55,0.782,117.38
Hard To Handle,The Black Crowes,Shake Your Money Maker,0,0.79,104.171
This Ain't Love,Jessica Mauboy,This Ain't Love,35,0.795,82.49
"Go, Jimmy, Go",Jimmy Clanton,"Go, Jimmy, Go",1,0.731,137.36
You're The One That I Want - From “Grease”,"John Travolta, Olivia Newton-John",Gold,0,0.774,106.564
If You Wanna Be Happy,Jimmy Soul,If You Wanna Be Happy,30,0.875,93.242
Someday,Sugar Ray,The Sugar Ray Collection,31,0.682,110.855
You Keep Me Hangin' On,Vanilla Fudge,You Keep Me Hanging On,48,0.7,172.338
Summer,Calvin Harris,Motion,87,0.856,127.949
Falling Up,Dean Lewis,Falling Up,60,0.756,103.551
Monster Mash,"Bobby ""Boris"" Pickett, The Crypt-Kickers",Halloween Party Songs,25,0.608,69.796
One,U2,U218 Singles,0,0.616,90.759
Never Be Like You (feat. Kai),"Flume, kai",Skin,0,0.552,119.907
My Name Is,Eminem,Curtain Call (Deluxe),2,0.678,85.491
I Love It,"Icona Pop, Charli XCX",Icona Pop,56,0.901,125.953
Armstrong,Reg Lindsay,20 Golden Country Greats,30,0.514,118.269
Get Right,Jennifer Lopez,Rebirth,68,0.759,97.084
I Need A Dollar,Aloe Blacc,Good Things,1,0.482,95.498
Ain't Been Done,Jessie J,Sweet Talker (Deluxe Version),0,0.923,167.903
I Like Love (I Love Love) - Radio,Solitaire,I Like Love (I Love Love),41,0.846,128.015
Heartless,Kanye West,808s & Heartbreak,88,0.647,87.999
Music Sounds Better With You - Radio Edit,Stardust,Music Sounds Better With You,74,0.662,124.149
After All These Years,Silverchair,Diorama (U.S. Version),28,0.0000203,101.77
Kokomo,The Beach Boys,The Very Best Of The Beach Boys: Sounds Of Summer,74,0.635,115.584
How Deep Is Your Love,"Calvin Harris, Disciples",How Deep Is Your Love,82,0.868,122.003
All Day and Night - Jax Jones & Martin Solveig Present Europa,"Jax Jones, Martin Solveig, Madison Beer, Europa",All Day and Night,39,0.731,121.763
You Think You're A Man,Divine,Essential Divine,43,0.876,127.104
Psycho (feat. Ty Dolla $ign),"Post Malone, Ty Dolla $ign",beerbongs & bentleys,81,0.56,140.06
A Thousand Years,Christina Perri,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),76,0.407,139.028
Fall For You,Secondhand Serenade,A Twist In My Story,0,0.455,169.606
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,Christina Aguilera,0,0.914,118.912
Kick,INXS,Kick 25 (Deluxe Edition),0,0.861,156.651
Never Tear Us Apart,INXS,INXS Remastered,59,0.613,96.6
Rewrite The Stars,"Zac Efron, Zendaya",The Greatest Showman (Original Motion Picture Soundtrack),75,0.619,125.046
Slow Hands,Niall Horan,Slow Hands,57,0.423,85.899
Naughty - Radio Edit,"Elen Levon, Israel Cruz",Naughty (Deluxe),13,0.812,127.934
Dirty Picture,"Taio Cruz, Kesha",Rokstarr (Special Edition),24,0.666,119.97
State Of The Heart - Digitally Remastered,Mondo Rock,The Greatest Hits,0,0.644,92.177
Tip Of My Tongue,Diesel,Rewind: The Best Of,0,0.726,97.933
Waiting for Tonight,Jennifer Lopez,On The 6,0,0.945,125.013
Constantly (L'Edera) - 2007 Remaster,Cliff Richard,75 at 75,0,0.417,167.693
You Get What You Give,New Radicals,Maybe You've Been Brainwashed Too,79,0.901,113.967
Innocent - Remastered,Small Mercies,Beautiful Hum,10,0.798,161.679
"Sugar, We're Goin Down",Fall Out Boy,From Under The Cork Tree,82,0.842,162.011
Pumped Up,Klingande,Pumped Up,0,0.734,123.033
Jailhouse Rock,Elvis Presley,Elvis' Golden Records,71,0.582,167.396
You're Sixteen (You’re Beautiful And You’re Mine),Ringo Starr,Ringo,54,0.629,124.265
Pictures,Sneaky Sound System,Sneaky Sound System,51,0.914,121.982
Apologize,OneRepublic,Dreaming Out Loud,73,0.74,118.008
The Riddle,Nik Kershaw,The Riddle,0,0.449,101.842
Carry On,fun.,Some Nights,59,0.694,145.434
Janie's Got A Gun,Aerosmith,Big Ones,0,0.763,115.121
You Know You Like It,"DJ Snake, AlunaGeorge",You Know You Like It,0,0.725,196.093
"Hopelessly Devoted To You - From ""Grease"" Original Motion Picture Soundtrack",Olivia Newton-John,Grease (Limited Edition),0,0.344,73.805
Come Away With Me,Norah Jones,Come Away With Me (Super Deluxe Edition),76,0.141,76.64
Ice Ice Baby,Vanilla Ice,To The Extreme,65,0.535,115.744
We R Who We R,Kesha,We R Who We R,0,0.818,119.982
"Walk, Don't Run",The Ventures,The Very Best Of The Ventures,28,0.88,155.968
Ship of Fools,"World Party, Anthony Thistlethwaite",Private Revolution,50,0.869,116.288
The Ballad of Bonnie & Clyde,Georgie Fame,On Your 60's Radio,18,0.343,106.332
All You Wanted,Michelle Branch,The Spirit Room,64,0.72,96.103
If I Had a Hammer,"Peter\, Paul and Mary","Peter, Paul and Mary",43,0.387,89.692
In Too Deep,Sum 41,"All Killer, No Filler",0,0.835,116.041
The Buzz,"Hermitude, Mataya, Young Tapz",Dark Night Sweet Light,0,0.581,141.082
Lullaby - Original Radio Edit,Shawn Mullins,Just Great Songs 2016,0,0.874,79.963
To Whom It Concerns,Chris Andrews,The Best of Chris Andrews,39,0.828,109.32
Ti Amo,Laura Branigan,Self Control,49,0.519,184.358
Slide Away,Miley Cyrus,Slide Away,58,0.538,148.051
Rain,Anthony Callea,Anthony Callea,25,0.755,108.01
This Is Love,"will.i.am, Eva Simons",#willpower (Deluxe),0,0.809,129.01
Twilight Time,Billy Thorpe & The Aztecs,It's All Happening - 23 Original Hits (1964-1975),10,0.65,96.338
Perfectly Lonely,John Mayer,Battle Studies,60,0.53,91.779
Symphonies feat Kid Cudi,Dan Black,((un)),0,0.433,86.995
Thunderstruck,AC/DC,The Razors Edge,87,0.89,133.52
Arizona,Mark Lindsay,Arizona,42,0.453,81.18
Dreadlock Holiday,10cc,Bloody Tourists,70,0.38,104.995
Where Is The Love?,Black Eyed Peas,R&B Collaborations 2007 (International Version),0,0.688,94.106
Every Breath You Take,The Police,The Very Best Of Sting And The Police,0,0.449,117.399
From Little Things Big Things Grow,The Waifs,Cannot Buy My Soul: The Songs Of Kev Carmody (2020 Edition),16,0.301,104.234
One More Day (Stay with Me),Example,Live Life Living (Deluxe),40,0.861,119.934
Just What I Needed,The Cars,The Cars,78,0.579,127.224
Ready For Your Love,"Gorgon City, MNEK",Sirens (Deluxe),64,0.753,121.939
One Headlight,The Wallflowers,Bringing Down The Horse,0,0.539,107.531
It Ain't Over 'Til It's Over,Lenny Kravitz,Greatest Hits,53,0.748,159.719
Sunshine Superman,Donovan,Sunshine Superman,61,0.677,132.783
Don't Worry,Marty Robbins,The Story Of My Life: The Best Of Marty Robbins 1952-1965,44,0.165,99.585
Eight Days A Week - Remastered 2009,The Beatles,Beatles For Sale (Remastered),68,0.583,138.134
Jungle Boogie,Kool & The Gang,Wild And Peaceful,66,0.85,106.855
Ordinary World,Duran Duran,Duran Duran,77,0.652,140.124
All of the Stars,Ed Sheeran,The Fault In Our Stars: Music From The Motion Picture,68,0.562,150.066
Anyone Who Had a Heart,Dionne Warwick,Anyone Who Had a Heart,48,0.0477,78.856
Don't Fall In Love,The Ferrets,Dreams Of A Love,39,0.695,90.246
Whistle,Flo Rida,Whistle,60,0.933,103.992
Live In Life,The Rubens,Live In Life,50,0.691,104.015
Pick You Up,Powderfinger,Double Allergic,48,0.698,109.477
Danny's Song,Loggins & Messina,Sittin' In,52,0.198,141.261
I Don't Know Anybody Else,Black Box,Dreamland,47,0.88,120.126
Need You Now,Lady A,Need You Now,77,0.717,107.884
Closer To The Edge,Thirty Seconds To Mars,This Is War (Deluxe),53,0.948,139.979
From Yesterday,Thirty Seconds To Mars,A Beautiful Lie,56,0.876,135.062
Sign of the Times,Harry Styles,Harry Styles,87,0.595,119.972
Night,Jackie Wilson,"A Woman, A Lover, A Friend",11,0.383,101.473
Drag Me Down,One Direction,Drag Me Down,0,0.711,138.098
Happiness,Alexis Jordan,Happiness,56,0.768,127.949
Supreme,Robbie Williams,Sing When You're Winning,65,0.848,96.225
Look Alive (feat. Drake),"BlocBoy JB, Drake",Look Alive (feat. Drake),11,0.581,140.022
Making Your Mind Up,Bucks Fizz,Bucks Fizz,56,0.834,173.565
Underneath It All,"No Doubt, Lady Saw",Rock Steady,0,0.731,138.202
Congratulations,"Post Malone, Quavo",Stoney,0,0.817,123.087
Stickwitu - Avant Mix,"The Pussycat Dolls, Avant",Director,0,0.539,80.113
NDA,Billie Eilish,NDA,0,0.349,170.181
Run To The Water,Live,Best Of Live,30,0.855,180.262
Longview,Green Day,Dookie,69,0.732,142.504
I Wish It Would Rain Down - 2016 Remaster,Phil Collins,...But Seriously (Deluxe Edition),68,0.667,125.887
Womanizer,Britney Spears,Circus (Deluxe Version),80,0.695,139
Way out West,The Dingoes,The Dingoes,39,0.389,110.485
Chameleon,PNAU,Changa,0,0.936,119.982
Boys from the Bush - Remastered 2017,Lee Kernaghan,The Outback Club,55,0.877,176.629
Amigos Para Siempre - Friends for Life,"José Carreras, Sarah Brightman",José Carreras Sings Hits Of Andrew Lloyd Webber,44,0.469,110.23
The Greatest Mistakes,Birds Of Tokyo,The Greatest Mistakes,14,0.849,99.99
Say It Once - Single Edit,"Ultra, Steve Robson And Andy Bradfield",Ultra,38,0.966,89.974
Say You'll Be There,Spice Girls,Spice,70,0.679,107.02
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",65,0.745,101.018
Jalebi Baby (Tesher x Jason Derulo),"Tesher, Jason Derulo",Jalebi Baby (Tesher x Jason Derulo),44,0.83,186.1
Paradise,Coldplay,Mylo Xyloto,88,0.585,139.631
Starships,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe),64,0.716,125.006
Hold On,Wilson Phillips,Wilson Phillips,72,0.657,97.8
Quarter To Three,Gary U.S. Bonds,The Very Best Of Gary U.S. Bonds (The Original Legrand Masters),0,0.837,165.371
Redbone,Childish Gambino,"""Awaken, My Love!""",0,0.345,160.036
No Love,"Eminem, Lil Wayne",Recovery,16,0.935,129.565
Last Thing on My Mind,Steps,Step One,0,0.927,130.295
Sad Songs (Say So Much),Elton John,To Be Continued...,0,0.911,107.24
Oath (feat. Becky G),"Cher Lloyd, Becky G",Sticks & Stones,54,0.864,113.23
Don't Bet Money Honey,Linda Scott,Little Star,4,0.836,201.17
Baby Don't Forget My Number,Milli Vanilli,All Or Nothing,53,0.649,100.302
You've Really Got A Hold On Me,The Miracles,The Fabulous Miracles,0,0.441,118.444
That's the Way It Is,Céline Dion,The Essential,0,0.873,93.029
I Know You (feat. Bastille),"Craig David, Bastille",The Time Is Now (Expanded Edition),53,0.761,140.555
Everyday People,Sly & The Family Stone,Stand,71,0.497,114.524
Whataya Want from Me,Adam Lambert,For Your Entertainment,66,0.683,185.948
Linger,The Cranberries,Stars: The Best Of The Cranberries 1992-2002,0,0.64,94.854
Rock & Roll Music,Mental As Anything,Cyclone Raymond,36,0.828,163.858
I Wanna Be A Hippy,Technohead,Happy Hardcore Top 100,54,0.947,177.383
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",Mercury - Acts 1 & 2,84,0.783,77.011
Going Under,Evanescence,Fallen,0,0.857,175.093
Teenagers,My Chemical Romance,The Black Parade,84,0.857,111.647
Relax,Frankie Goes To Hollywood,Maximum Joy,0,0.88,114.905
Walk Right In,Dr. Hook,Completely Hooked,44,0.867,114.87
Lady (Hear Me Tonight),Modjo,Vintage Ibiza Classics,0,0.908,126.028
Werewolves of London,Warren Zevon,A Quiet Normal Life: The Best of Warren Zevon,59,0.614,103.868
Country Bumpkin,Cal Smith,Cal Smith - His Very Best,26,0.345,98.444
Tip Of My Tongue,Diesel,Hepfidelity,0,0.67,97.93
she's all i wanna be,Tate McRae,she's all i wanna be,75,0.644,160.036
You're The Reason I'm Living,Bobby Darin,The Magic Of,1,0.224,72.901
Always Come Back To Your Love,Samantha Mumba,The Collection,52,0.797,105.231
Down By the Station,The Four Preps,Down By the Station,26,0.442,118.641
Resistance,Muse,The Resistance,66,0.774,135.006
Lust For Life (with The Weeknd),"Lana Del Rey, The Weeknd",Lust For Life,76,0.655,99.982
Blue Sky Mine - 2011 Remaster,Midnight Oil,Blue Sky Mining (Remastered),60,0.852,132.018
Pony,Ginuwine,R&B: From Doo-Wop To Hip-Hop,75,0.605,142.024
Kiwi,Harry Styles,Harry Styles,80,0.93,147.124
I Send A Message,INXS,The Very Best,0,0.525,136.42
I've Told Every Little Star,Linda Scott,Starlight Starbright,33,0.621,118.349
Best Thing I Never Had,Beyoncé,4,72,0.649,99.05
No Scrubs,TLC,Fanmail,84,0.675,92.909
This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",Layers,82,0.717,121.985
Let Me,ZAYN,Let Me,0,0.567,168.419
Do You Remember,Jarryd James,Thirty One,53,0.302,71.988
Take Me Out,Franz Ferdinand,Franz Ferdinand,0,0.665,104.656
MK Ultra,Muse,The Resistance,56,0.861,155.063
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,84,0.654,117.046
What Do You Mean?,Justin Bieber,What Do You Mean?,0,0.564,124.984
Make A Move On Me,Olivia Newton-John,Gold,0,0.733,122.232
Tonight I Wanna Cry,Keith Urban,Greatest Hits,46,0.385,103.73
The Stroke - Remastered 2010,Billy Squier,Don't Say No (Remastered 2010),71,0.591,91.439
Not An Addict,K's Choice,10: 1993-2003 - Ten Years of K's Choice,46,0.645,169.326
Say Something,"A Great Big World, Christina Aguilera",Is There Anybody Out There? - Track by Track Commentary,72,0.147,141.284
Gold Digger,"Kanye West, Jamie Foxx",Late Registration,0,0.696,92.88
Beating Heart,Birdy,Beautiful Lies (Deluxe),32,0.401,139.862
Wishing I Was There,Natalie Imbruglia,Left Of The Middle,47,0.867,92.993
Good Thing,Fine Young Cannibals,The Raw And The Cooked,0,0.586,164.718
Ooh-Wakka-Doo-Wakka-Day,Gilbert O'Sullivan,Back to Front (Deluxe Edition),41,0.606,112.193
My Happiness,Powderfinger,Odyssey Number Five,0,0.809,85.885
We're All In This Together,Ben Lee,Awake Is the New Sleep,38,0.584,102.001
No Problem (feat. Lil Wayne & 2 Chainz),"Chance the Rapper, Lil Wayne, 2 Chainz",Coloring Book,70,0.795,135.018
Angel Of The Morning,Juice Newton,Juice Newton's Greatest Hits,59,0.233,75.174
Knock You Down,"Keri Hilson, Kanye West, Ne-Yo",In A Perfect World...,60,0.877,155.165
All By Myself,Eric Carmen,Eric Carmen,66,0.373,116.074
Still Got Time (feat. PARTYNEXTDOOR),"ZAYN, PARTYNEXTDOOR",Still Got Time (feat. PARTYNEXTDOOR),62,0.627,120.963
Not Too Late,Ricki-Lee,Not Too Late,0,0.651,164.981
Can I Go Now,Jennifer Love Hewitt,Barenaked,32,0.699,150.104
My Sacrifice,Creed,Weathered,0,0.879,146.312
Crash & Burn,Rebecca Levy,Crash & Burn,27,0.289,134.511
Levitating,Dua Lipa,Future Nostalgia,85,0.884,103.014
Single,Ne-Yo,Year Of The Gentleman,0,0.908,134.019
Emotion,"Samantha Sang, Bee Gees",Emotion,60,0.364,184.244
Ferry Cross the Mersey - Mono; 2002 Remaster,Gerry & The Pacemakers,You'll Never Walk Alone (The EMI Years 1963-1966),34,0.365,104.536
Untouchable (Originally Performed by Taylor Swift) [Vocal Version],Musical Creations Karaoke,Untouchable (Originally Performed by Taylor Swift) [Karaoke Version],3,0.344,199.942
Love Will Keep Us Together,Captain & Tennille,Love Will Keep Us Together,67,0.788,129.62
Kiss Me More (feat. SZA),"Doja Cat, SZA",Kiss Me More (feat. SZA),58,0.692,110.962
Let's Make A Night To Remember,Bryan Adams,The Best Of Me,0,0.625,175.897
Warning,Green Day,International Superhits!,35,0.92,120.989
Ray of Light,Madonna,Ray of Light,63,0.909,127.172
Swallowed,Bush,Razorblade Suitcase,0,0.54,179.788
You Found Me,The Fray,The Fray,76,0.803,151.994
Roar,Katy Perry,PRISM,0,0.762,179.756
Montego Bay,The Allniters,D-D-D-Dance,0,0.724,127.888
Changes,"2Pac, Talent",Greatest Hits,49,0.675,111.101
Flame Trees,Cold Chisel,The Best of Cold Chisel - All for You,0,0.659,120.361
Sweet Lullaby,Deep Forest,Deep Forest,0,0.531,175.965
Better in Time,Leona Lewis,Spirit,21,0.707,163.966
I Want You,Savage Garden,Savage Garden,0,0.875,106.119
Sucker DJ (I Will Survive),Dimples D.,Classic Hip Hop Jams,0,0.863,107.988
Animals,Martin Garrix,Animals,69,0.868,128.007
Bailamos,Enrique Iglesias,Enrique,60,0.888,99.905
R.O.C.K. In The U.S.A. (A Salute To 60's Rock),John Mellencamp,Scarecrow (Remastered),0,0.958,164.009
One Of The Boys,Katy Perry,One Of The Boys,28,0.91,145.953
Blue Jeans - 2015 Remaster,Skyhooks,Hits'n'Riffs,36,0.702,132.339
Stay With Me,Sam Smith,In The Lonely Hour,87,0.42,84.094
It's Only Make Believe,Glen Campbell,Glen Campbell Goodtime Album,52,0.558,112.742
Don't Forget To Remember,Bee Gees,Cucumber Castle,59,0.448,82.374
Could've Been,"Tiffany, George Tobin, Bill Smith",Tiffany,54,0.238,99.005
The Feeling,"Justin Bieber, Halsey",Purpose (Deluxe),0,0.809,127.073
Worry About Me (feat. blackbear),"Ellie Goulding, blackbear",Worry About Me,19,0.716,161.852
Return to Sender,Elvis Presley,Elvis 30 #1 Hits,59,0.616,131.719
Silence (Single Edit),"Delerium, Sarah McLachlan",The Best Of,0,0.705,97.921
Thunder,Imagine Dragons,Evolve,14,0.81,167.88
Venus,Bananarama,True Confessions (Platinum Re-Issue),0,0.961,126.113
FutureSex / LoveSound,Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,40,0.832,105.025
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,Crystal Waters,Surprise,60,0.779,120.007
Pumped Up Kicks,Foster The People,Torches,87,0.71,127.975
Johnny Angel,Shelley Fabares,Johnny Angel - The Best of Shelley Fabares,2,0.37,107.144
For The Night (feat. Lil Baby & DaBaby),"Pop Smoke, Lil Baby, DaBaby",Shoot For The Stars Aim For The Moon,82,0.586,125.971
Jingle Jangle,The Archies,Sugar Sugar,14,0.472,109.302
Theme From Shaft,Isaac Hayes,100 70s,0,0.723,120.872
Travelin' Man - Remastered,Ricky Nelson,The Best Of Rick Nelson (Vol. 2),43,0.363,123.263
With Or Without You - Remastered 2007,U2,The Joshua Tree,53,0.432,110.181
Uptown Girl,Billy Joel,The Essential Billy Joel,67,0.943,129.002
Paris Is Burning,Ladyhawke,Ladyhawke (Deluxe Edition),40,0.881,122.958
Chasing Cars,Snow Patrol,Eyes Open,9,0.592,104.016
"What The World Needs Now Is Love/Abraham, Martin And John",Tom Clay,The Complete Motown Singles Vol. 11A: 1971,28,0.58,94.161
Where the Wild Roses Grow,"Nick Cave & The Bad Seeds, Kylie Minogue",Murder Ballads (Remastered),0,0.47,154.649
Thank U,Alanis Morissette,Supposed Former Infatuation Junkie,69,0.616,92.094
Please Forgive Me,Bryan Adams,Australian Tour Edition 2013,0,0.452,133.918
Rock This Party - Original,Bob Sinclar,Rock This Party (Everybody Dance Now),0,0.828,128.004
The Carnival Is Over - Mono; 2009 Remaster,The Seekers,All Bound for Morningtown (Their EMI Recordings 1964-1968),16,0.493,75.694
Beyond the Sea,Bobby Darin,That's All,72,0.516,136.483
Trap Queen,Fetty Wap,Fetty Wap (Deluxe),77,0.873,148.075
According To My Heart,The Reels,Reel To Reel: 1978 - 1992,0,0.534,119.78
Start Again,Conrad Sewell,Start Again,51,0.343,66.543
Blame It on the Weatherman,B*Witched,C'est la Vie: The Collection,44,0.739,90.031
Congratulations,Cliff Richard,40 Golden Greats,43,0.681,92.898
Chosen Armies,Children Collide,The Long Now,19,0.934,152.018
Save Tonight,Eagle-Eye Cherry,Desireless,58,0.742,119.496
Big Energy (feat. DJ Khaled) - Remix,"Latto, Mariah Carey, DJ Khaled",Big Energy (feat. DJ Khaled) [Remix],66,0.775,106.001
Hard to Say I'm Sorry - 2007 Remaster,Chicago,"The Best of Chicago, 40th Anniversary Edition",72,0.416,72.174
HandClap,Fitz and The Tantrums,Fitz and The Tantrums,68,0.836,139.956
I Want Love,Jessie J,I Want Love,58,0.768,119.936
Let It Be Me,The Everly Brothers,Greatest and Original Hits,2,0.326,90.089
deja vu,Olivia Rodrigo,deja vu,14,0.608,180.558
Let's Go,Wang Chung,Mosaic,43,0.658,119.985
I'm Leaving It up to You,Dale & Grace,I'm Leaving It up to You,12,0.429,104.766
Elevator (feat. Timbaland),"Flo Rida, Timbaland",Mail on Sunday,54,0.874,120.025
Faded White Dress,Amy Meredith,Restless,0,0.923,147.944
Sound of Silence,Dami Im,Sound of Silence,50,0.818,135.56
You Make My Dreams (Come True),Daryl Hall & John Oates,Voices,83,0.501,167.057
"1,2,3 Red Light",1910 Fruitgum Company,The Best of the 1910 Fruitgum Co.,21,0.764,115.146
Try to Remember,New World,Tom Tom Turnaround,0,0.368,100.021
Lonely Days,Bee Gees,2 Years On,52,0.24,94.254
When It's Over - David Kahne Main,Sugar Ray,Sugar Ray,62,0.775,99.945
Judy in Disguise (With Glasses),John Fred and His Playboy Band,One-Hit Wonders! (Original – Recordings),23,0.818,82.289
Best Day Of My Life,American Authors,"Oh, What A Life",83,0.902,100.012
WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),82,0.454,133.073
Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",Prisoner (feat. Dua Lipa),4,0.67,127.99
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa, P!nk",Keeps Gettin' Better: A Decade Of Hits,0,0.859,109.905
Where Have You Been,Rihanna,Talk That Talk (Deluxe),0,0.847,127.963
El Paso,Marty Robbins,The Story Of My Life: The Best Of Marty Robbins 1952-1965,23,0.395,105.968
Dedicated To The One I Love,The Mamas & The Papas,Deliver,65,0.452,103.264
Heat Waves,Glass Animals,Dreamland (+ Bonus Levels),53,0.525,80.87
Love in the First Degree,Bananarama,Wow! (Platinum Re-Issue),0,0.92,117.565
Last Night (feat. Snoop Dogg and Bobby Anthony) - Extended Mix,"Ian Carey, Snoop Dogg, Bobby Anthony",Last Night (feat. Snoop Dogg and Bobby Anthony) [Extended Mix],29,0.875,127.994
Madder Red,Yeasayer,Odd Blood,0,0.845,164.014
Honey,Moby,Play,60,0.733,102.128
Love The Way You Lie,"Eminem, Rihanna",Recovery,86,0.925,86.989
You're Beautiful,Nathaniel,Yours,16,0.608,98.938
Crying at the Discoteque - Radio Edit,Alcazar,Casino,64,0.927,138.017
Butterfly Kisses,Bob Carlisle,Simply Bob Carlisle,55,0.364,81.895
Solid Rock - Remastered Version,Goanna,Spirit Of Place (Remastered & Expanded),2,0.741,148.996
Hercules - Remastered,Midnight Oil,Species Deceases,36,0.844,155.517
Our Day Will Come - Single Version,Ruby And The Romantics,Our Day Will Come: The Very Best Of Ruby And The Romantics,0,0.455,93.123
Boyfriend,Mabel,Boyfriend,51,0.847,99.991
Cherish,Kool & The Gang,The Very Best Of Kool & The Gang,0,0.596,95.186
Daisies,Katy Perry,Daisies,62,0.546,122.179
Union of the Snake,Duran Duran,Greatest,39,0.846,115.076
Old School Love (feat. Ed Sheeran),"Lupe Fiasco, Ed Sheeran",Old School Love (feat. Ed Sheeran),48,0.781,86.006
Hot In Herre,Nelly,Nellyville (Explicit Version),0,0.728,107.082
Whoomp! (There It Is),Tag Team,Whoomp! (There It Is),0,0.649,129.422
Send Me An Angel,Scorpions,Crazy World,0,0.43,104.668
S&M,Rihanna,Loud,76,0.682,127.975
100 Years,Five For Fighting,The Battle For Everything,52,0.569,120.507
You're An Ocean,Fastball,The Harsh Light Of Day,46,0.958,134.087
Before Too Long,Paul Kelly,Paul Kelly's Greatest Hits: Songs From The South: Volume 1 & 2,0,0.848,133.826
Don't Hang Up,The Orlons,The Best Of The Orlons,34,0.696,112.842
I Believe in a Thing Called Love,The Darkness,Permission to Land,73,0.846,128.235
